BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
LTF,MVP,MAN2C1,ERLIN2,RPL39,LOC475937,,,CIAO1
LTN1,MYBBP1A,Map1a,ERP29,RPL4,LOC475937,,,CIAO2A
LZTFL1,MYDGF,MAP1B,ERP44,RPL5,LOC477072,,,CIAO2B
M6PR,MYEF2,MAP2K1,ESD,RPL6,LOC477072,,,CIAPIN1
MACF1,MYH10,MAP2K2,ESR1,RPL7,LOC477072,,,CIB1
MAGED2,MYH11,MAP2K3,ESRP1,RPL7A,LOC478000,,,CILP
MAGOH,MYH14,Map3k5,ESYT1,RPL8,LOC479459,,,CIRBP
MAN2C1,MYH9,Mapk1,ESYT2,RPL9,LOC479459,,,CISD1
MANF,MYL1,MAPK14,ETF1,RPLP0,LOC479459,,,CISD2
MAP1A,MYL3,MAPK3,ETFA,RPLP2,LOC483167,,,CKAP4
MAP1B,MYL6,MAPK8IP3,ETFB,RPS10,LOC483167,,,CKAP5
MAP2K1,MYL6B,MAPKAP1,ETFDH,RPS11,LOC483167,,,CKB
MAP2K2,MYL9,MAPRE1,EVPL,RPS12,LOC483172,,,CKLF
MAP2K3,MYLK,MARCKS,EXOC1,RPS13,LOC484492,,,CKMT1A
MAP3K5,MYO1C,MARS,EXOC2,RPS14,LOC484492,,,CKMT1B
MAP4,MYO1D,Mat2a,EXOC3,RPS15,LOC487375,,,CLASP1
MAP7D3,MYO6,MATN1,EXOC4,RPS15A,LOC487740,,,CLASP2
MAPK1,MYO9A,MATN2,EXOC5,RPS16,LOC606772,,,CLC
MAPK14,MYOF,MCC,EXOC8,RPS18,LOC606772,,,CLCN3
MAPK3,NAA10,mcts1,EXOSC10,RPS19,LOC607647,,,CLCN7
MAPK8IP3,NAGA,MDH1,EXOSC2,RPS2,LOC607817,,,CLDN6
MAPK9,NAGLU,MEMO1,EXOSC3,RPS20,LOC607833,,,CLEC11A
MAPRE1,NAP1L1,MFI2,EXOSC4,RPS21,LOC608055,,,CLEC3B
MARCKS,NAP1L4,Mgea5,EXOSC7,RPS23,LOC609770,,,CLIC1
MARCKSL1,NAPA,Mgrn1,EXOSC8,RPS25,LOC609770,,,CLIC2
MAT2A,NAPB,MIA3,EXOSC9,RPS26,LOC609886,,,CLIC3
MATR3,NARS,MIB1,EZR,RPS28,LOC609886,,,CLIC4
MCTS1,NAXE,Mid1,F10,RPS29,LOC610164,,,CLIC5
MDH1,NCCRP1,Mink1,F11,RPS3,LOC610164,,,CLINT1
MDH2,NCKAP1,MIOS,F11R,RPS3A,LOC611750,,,CLIP1
MELTF,NCL,MKLN1,F12,RPS4X,LOC611750,,,CLIP2
MEMO1,NCLN,MLEC,F13A1,RPS5,LOC611750,,,CLN5
MFGE8,NCS1,Mlf2,F2,RPS6,LOC612644,,,CLN8
MID1,NDN,MMS19,F5,RPS6KA3,LOC612644,,,CLNS1A
MIF,NDUFA12,MOB1A,F9,RPS7,LONRF1,,,CLPB
MINK1,NDUFA13,MON2,FABP3,RPS8,LPP,,,CLPP
MIOS,NDUFA9,MPDZ,FABP4,RPS9,LRP5,,,CLPTM1
MMS19,NDUFB10,MPP5,FADD,RPSA,LRPPRC,,,CLPX
MON2,NDUFB11,MSN,FAF1,RRM1,LRRC59,,,CLSTN1
MPP5,NDUFB5,MTHFD1,FAF2,RSPH1,LRRC59,,,CLTA
MSLN,NDUFB6,Mthfr,FAH,RSPH4A,LRRC59,,,CLTB
MSN,NDUFS1,Mtmr2,FAHD2A,RSU1,LSM6,,,CLTC
MTHFD1,NDUFS2,MTOR,FAIM,RTCB,LSM8,,,CLU
MTHFR,NDUFS7,MVB12A,FAM114A1,RTRAF,LTBP2,,,CLUH
MTMR2,NDUFS8,MVB12B,FAM114A2,RUVBL1,LTBP2,,,CLYBL
MTMR9,NDUFV1,MVP,FAM120A,RUVBL2,LUC7L,,,CMA1
MTOR,NEFH,Myadm,FAM120B,S100A10,LUZP2,,,CMAS
MUC1,NELFB,MYCBP2,FAM160B1,S100A11,LYPLA1,,,CMBL
MUC4,nfe2l3,MYH10,FAM162A,S100A13,LYPLA1,,,CMIP
MVB12A,NFIA,MYH14,FAM169A,S100A16,M6PR,,,CMPK1
MVP,NID1,MYH9,FAM172A,S100A6,MAN2A1,,,CMPK2
MYCBP2,NID2,MYL12A,FAM3C,SAE1,MANF,,,CMTR1
MYDGF,NIFK,Myl6,FAM91A1,SARNP,MANF,,,CNBP
MYH10,NLRC4,MYLK,FAM98A,SARS1,MAP1B,,,CNDP2
MYH11,NME1,MYO18A,FARP1,SAT2,MAP1B,,,CNIH4
MYH14,NME7,MYO1B,FARSA,SBDS,MAP1B,,,CNN1
MYH9,NME9,MYO1C,FARSB,SCAMP2,MAP4,,,CNN2
MYL3,NMRK1,MYO1D,FBL,SCGB1A1,MAP4,,,CNN3
MYL6,NNT,Myo1e,FBLN2,SCLY,MAP4,,,CNOT1
MYL9,NOLC1,MYO5A,FBXL12,SCRN2,MAPK1,,,CNOT10
MYLK,nomo3,MYO5B,FBXO22,SCRN3,MAPK1,,,CNOT2
MYO18A,NONO,MYO5C,FBXO3,SDCBP,MAPK1,,,CNOT3
MYO1B,NOP56,MYO6,FBXO7,SEC14L3,MAPRE1,,,CNOT6L
MYO1C,NPEPL1,MYO9B,FBXW12,SEC31A,MARCKSL1,,,CNOT7
MYO1D,NPEPPS,MYOF,FBXW9,SELENBP1,MARCKSL1,,,CNOT9
MYO1E,NPM1,NAALADL2,FCGRT,SEPHS1,MAT2A,,,CNP
MYO5A,NPTN,naca,FCHO2,SEPT2,MAT2A,,,CNPY2
MYO5B,nptxr,NADSYN1,FDPS,SEPT7,MCCC1,,,CNPY3
MYO6,NRAS,Nampt,FDXR,SEPT9,MDH1,,,CNPY4
MYO9B,NSF,NANS,FECH,SERBP1,MDH1,,,CNRIP1
MYOF,NSFL1C,NAP1L1,FERMT1,SERPINB1 ,MDH1,,,CNTN1
NAA10,NT5E,Nap1l4,FERMT2,SERPINB5,MDH2,,,CNTNAP1
NAALADL2,NUCB1,NAPA,FERMT3,SERPINB6,MDH2,,,COA3
NACA,NUCB2,Napg,FGA,SERPINB9,MDH2,,,COA7
NADSYN1,NUCKS1,NBEA,FGB,SERPINC1,MECR,,,COASY
NAGA,NUDC,NBEAL1,FGFR1OP,SERPIND1,METTL14,,,COBLL1
NAMPT,NUMA1,ncaldb,FGG,SERPINF1,MFGE8,,,COG1
NANS,NUP210,NCAPD2,FGGY,SERPINF2,MFGE8,,,COG2
NAP1L1,NUP93,NCAPG,FH,SERPING1,MFGE8,,,COG3
NAP1L4,OAT,Ncdn,FHIT,SETX,MGA,,,COG4
NAPA,ODF2,NCEH1,FHL1,SGTA,MGST3,,,COG5
NAPG,ODF3B,Nck1,FHL2.1,SH3BGRL,MGST3,,,COG6
NAXE,OGDH,NCKAP1,FHL3,SH3BGRL3,MGST3,,,COG7
NBEA,OPA1,NCL,FIBP,SH3GLB1,MLEC,,,COG8
NBEAL1,OS9,NDRG2,FIS1,SHTN1,MMP15,,,COIL
NCDN,OSMR,NDUFS1,FKBP15,SIDT2,MNDA,,,COL12A1
NCK1,OVGP1,NDUFV1,FKBP1A,SIN3A,MRPL16,,,COL14A1
NCKAP1,OXSR1,NECAP2,FKBP2,SIRT2,MRPL16,,,COL15A1
NCL,P4HA1,NEDD4L,FKBP3,SKP1,MRPL21,,,COL17A1
NCS1,P4HB,NEK10,FKBP4,SLC34A2,MRPS21,,,COL18A1
NDRG1,PA2G4,NEK9,FKBP5,SLC35G2,MRPS27,,,COL1A1
NDRG2,PABPC1,NF1,FLII,SLC44A4,MSN,,,COL1A2
NECAP2,PABPC1L,Nf2,FLNA,SLC9A3R1,MSN,,,COL21A1
NEDD4L,PABPC4,NFKB1,FLNB,SMPDL3B,MSN,,,COL28A1
NEK9,PACRG,NFKB2,FLNC,SMS,MT-CO2,,,COL3A1
NELFB,PACSIN2,NGLY1,FLOT1,SNCG,MT-CO2,,,COL4A1
NF2,PAFAH1B1,Nid1,FLOT2,SND1,MTAP,,,COL4A2
NFKB1,PAICS,NLN,FMR1,SNF8,MTAP,,,COL4A3
NFKB2,PARK7,NME2P1,FN1,SNRPD3,MTHFD1,,,COL4A6
NGLY1,PARP1,NMT1,FNBP1L,SNRPE,MTHFD1,,,COL5A1
NID1,PARP6,NNT,FNTA,SNX2,MTHFD2,,,COL5A2
NME7,PATE2,NOMO1,FNTB,SNX5,MTHFD2,,,COL5A3
NME9,PCBP1,Nos1,FOCAD,SOD1,MTHFD2,,,COL6A1
NMRK1,PCBP2,NPC1L1,FRY,SPA17,MTPN,,,COL6A2
NMT1,PCBP3,NPEPPS,FRYL,SPARCL1,MYDGF,,,COL6A3
NONO,PCCA,Nploc4,FSCN1,SPATS2L,MYH14,,,COL6A6
NPEPL1,PCED1A,Nptn,FSD1L,SPI2,MYH14,,,COL7A1
NPEPPS,PCED1B,NRBP1,FSTL1,SPI2,MYH3,,,COLEC11
NPLOC4,PCM1,Nrd1,FTH1,SPI2,MYH9,,,COLEC12
NPM1,PDCD6,Nsdhl,FTL,SPRED3,MYH9,,,COLGALT1
NPTN,PDCD6IP,Nsf,FUBP1,SRI,MYH9,,,COMMD10
NRAS,PDHA1,Nt5c2,FUBP3,SRM,MYL12A,,,COMMD2
NRBP1,PDHB,Ntn1,FXR1,SSB,MYL12A,,,COMMD3
NSF,PDIA3,Nudc,FXR2,ST13,MYL12A,,,COMMD4
NSFL1C,PDIA4,NUDCD1,G3BP1.1,STARD10,MYL3,,,COMMD5
NT5C2,PDIA5,NUMB,G6PD,STARD5,MYL3,,,COMMD6
NT5E,PDIA6,Nup214,GABARAP,STAT6,MYL3,,,COMMD8
NUCB1,PEBP1,NUP93,GABARAPL2,STIP1,MYL6B,,,COMMD9
NUCB2,pelp1,OGDH,GABPA,STMN2,MYL6B,,,COMP
NUCKS1,PFKL,OGT,GALE,STRAP,MYL6B,,,COMT
NUDC,PFKM,Ola1,GALK1,SUB1,MYL9,,,COPA
NUDCD1,PFN1,OLFM3,GALK2,SUGT1,MYL9,,,COPB1
NUMA1,PFN2,Opa1,GALM,SUMO3,MYL9,,,COPB2
NUMB,PGAM1,Oplah,GALNS,SUOX,MYO5C,,,COPE
NUP214,PGAM2,OSBP,GALNT1,SWAP70,MYO5C,,,COPG1
NUP93,PGAM5,Osbpl11,GALNT2,SYNCRIP,MYO7B,,,COPG2
OGT,PGD,OSBPL3,GALT,SYNGAP1,MYO9B,,,COPS2
OLA1,PGK1,OSBPL9,GAMT,SYNGR2,MYOF,,,COPS3
OPLAH,PGRMC2,OTUB1,GANAB,SYPL1,NAP1L1,,,COPS4
OSBP,,Otud7b,GAPDH,TAGLN2,NAP1L1,,,COPS5
OSBPL3,,Oxsr1,GAPVD1,TAGLN3,NAP1L1,,,COPS6
OSBPL9,,P4HA1,GAR1,TALDO1,NAPA,,,COPS7A
OSCP1,,P4HB,GARS1,TANK,NAPG,,,COPS7B
OSMR,,PA2G4,GART,TARS1,NARS,,,COPS8
OTUB1,,Pabpc1,GATD1,TBCA,NARS,,,COPZ1
OVGP1,,PABPC4,GCA,TBCB,NCL,,,COPZ2
OXSR1,,Pacrg,GCC2,TBCD,NCL,,,COQ5
P4HA1,,Pacsin1,GCDH,TCEA1,NCL,,,COQ6
P4HB,,PACSIN2,GCLC,TCP1,NDRG1,,,COQ7
PA2G4,,PACSIN3,GCLM,TDRKH,NDUFA2,,,COQ8A
PABPC1,,Padi2,GCN1,TES ,NDUFA5,,,COQ8B
PABPC4,,Pafah1b1,GDA,TF ,NDUFB10,,,COQ9
PACSIN1,,Pak2,GDI1,TGM1,NDUFB10,,,CORO1A
PACSIN2,,PAK4,GDI2,TGM2,NDUFB3,,,CORO1B
PADI2,,PARD6B,GDPD2,THAP4,NDUFB3,,,CORO1C
PAFAH1B1,,PARK7,GEMIN5,THNSL2,NDUFB4,,,CORO2A
PAICS,,PARVA,GET3,THOP1,NDUFB8,,,CORO2B
PAK2,,PCBP1,GET4,THY1,NDUFC2,,,CORO7
PAK4,,Pcbp2,GFPT1,TKFC,NDUFC2,,,COTL1
PARK7,,PCCB,GGA1,TKT,NDUFS2,,,COX19
PARP1,,PCM1,GGA2,TLN1,NDUFS3,,,COX20
PARVA,,PCSK5,GGACT,TMSB4X ,NDUFS3,,,COX4I1
PCBP1,,Pcyox1,GGT5,TNFAIP8,NDUFS4,,,COX5A
PCBP2,,Pdcd10,GIPC1,TP53RK,NEMF,,,COX5B
PCM1,,PDCD4,GIT1,TPI1,NIPSNAP2,,,COX6B1
PDCD10,,Pdcd6,GK,TPK1,NIPSNAP2,,,COX6C
PDCD4,,PDCD6IP,GLB1,TPM3,NIPSNAP2,,,COX7A1
PDCD6,,PDE4DIP,GLDC,TPM4 ,NKX1-2,,,COX7A2
PDCD6IP,,Pde6d,GLG1,TPPP,NKX1-2,,,COX7A2L
PDE4DIP,,PDIA3,GLIPR2,TPPP3,NME1,,,CP
PDE6D,,PDIA4,GLMN,TPRKB,NME1,,,CPA3
PDIA3,,Pdia6,GLO1,TPT1,NME2,,,CPB2
PDIA4,,Pdlim5,GLOD4,TRAM1L1,NME2,,,CPD
PDIA5,,PDZK1,GLRX,TRAP1,NME2,,,CPM
PDIA6,,Pelo,GLRX3,TSC22D4,NONO,,,CPN1
PDLIM1,,Pepd,GLS,TSN,NONO,,,CPN2
PDLIM5,,Pfn2,GLUD1,TSTD1,NPM1,,,CPNE1
PDXK,,Pgam1,GLUL,TTC17,NPM1,,,CPNE2
PDZK1,,Pgm1,GM2A,TTC38,NPM1,,,CPNE3
PEBP1,,PGM2,GMDS,TTLL12,NQO1,,,CPNE8
PELO,,Pgm5,GMFB,TTN,NQO1,,,CPOX
PEPD,,PGR,GMPPA,TTR,NQO1,,,CPPED1
PFKL,,PHB2,GMPPB,TUBA1A,NQO2,,,CPQ
PFKM,,PHKA1,GMPR,TUBA4A,NRAS,,,CPS1
PFN1,,Phka2,GMPS,TUBB,NUCB2,,,CPSF1
PFN2,,PHKB,GNA11,TUBB,NUCKS1,,,CPSF2
PGAM1,,Phpt1,GNA13,TUBB4B,NUDC,,,CPSF3
PGD,,Pi4k2a,GNAI2,TUBB6,NUDT17,,,CPSF4
PGK1,,PI4KA,GNAI3,TWF1,NUDT21,,,CPSF6
PGM1,,PICK1,GNAS,TXN,NUDT21,,,CPSF7
PGM2,,Pigk,GNB1,TXNDC17,NUMA1,,,CPT1A
PGM5,,PIGR,GNB2,TXNL1,NYAP2,,,CPT2
PGR,,PIK3AP1,GNB4,TYMP,OPTN,,,CPVL
PHKA1,,PIK3C3,GNE,UAP1L1,OSBPL9,,,CPXM1
PHKA2,,PIK3CA,GNL1,UBA1,OTOF,,,CPXM2
PHKB,,PIK3R4,GNPAT,UBA2,OXER1,,,CPZ
PHPT1,,Pip4k2a,GNPDA1,UBA3,OXER1,,,CRABP2
PI4KA,,Pip4k2b,GNPDA2,UBA6,P4HA1,,,CRAT
PICK1,,PIP4K2C,GNPNAT1,UBAP2L,P4HB,,,CRBN
PIGR,,PITPNA,GNS,UBB,P4HB,,,CREB1
PIK3AP1,,Pitpnb,GOLGA2,UBE2D3,P4HB,,,CREG1
PIK3C3,,PKHD1L1,GOLGA3,UBE2I,PA2G4,,,CRELD1
PIK3CA,,Pkm,GOLGA4,UBE2K,PA2G4,,,CRELD2
PIK3R4,,PKN1,GOLGB1,UBE2N,PABPC1,,,CRIP1
PIP4K2A,,Pkn2,GOLM1,UBE2V1,PABPC1,,,CRIP2
PIP4K2B,,PKP1,GOLPH3,UBQLN1,PABPC1,,,CRISP3
PIP4K2C,,PLAA,GOLPH3L,UBR4,PABPC4,,,CRISPLD2
PITPNA,,Plcb1,GOPC,UBXN1,PAFAH1B3,,,CRK
PITPNB,,PLCB3,GORASP2,UFC1,PARK7,,,CRKL
PKHD1L1,,PLCD1,GOT1,UFD1,PARVA,,,CRMP1
PKM,,Plcg2,GOT2,UFM1,PCBP1,,,CRNKL1
PKN1,,Plcxd3,GPCPD1,UGP2,PCBP1,,,CROCC
PKN2,,PLD1,GPD1L,UROD,PCBP1,,,CROCC2
PLAA,,PLEC,GPD2,USO1,PCBP2,,,CRTAC1
PLCB1,,Plekha1,GPHN,USP12,PCBP2,,,CRTAP
PLCD1,,Pls1,GPI,USP14,PCBP2,,,CRYAB
PLCG2,,PLS3,GPNMB,USP43,PCNA,,,CRYBG1
PLEC,,PLXNB2,GPRC5A,USP5,PCNA,,,CRYL1
PLS1,,PNP,GPRC5C,VARS1,PCNA,,,CRYZ
PLS3,,POC5,GPT,VASP,PDCD6IP,,,CRYZL1
PLXNB2,,Polr2b,GPX1,VAT1,PDE12,,,CS
PNP,,POR,GPX2,VBP1,PDE1B,,,CSDE1
PODXL,,Postn,GPX3,VCAN,PDHA1,,,CSE1L
POLR2B,,PPA1,GPX4,VCL,PDHB,,,CSF1R
POSTN,,Ppfibp2,GRB2,VCP,PDHB,,,CSH1
PPA1,,PPIA,GRHPR,VNN1,PDHB,,,CSK
PPFIBP2,,Ppib,GRIPAP1,VNN1,PDIA3,,,CSNK1A1
PPIA,,PPL,GSK3B,VPS25,PDIA3,,,CSNK2A1
PPIB,,Ppm1b,GSN,VPS29,PDIA3,,,CSNK2A2
PPL,,Ppme1,GSN.1,VPS35,PDIA4,,,CSNK2B
PPM1B,,Ppp1cb,GSR,VPS4B,PDIA4,,,CSPG4
PPME1,,ppp1cc-b,GSS,VTA1,PDIA4,,,CSRP1
PPP1CB,,PPP1R12A,GSTA1,VTN,PDIA6,,,CSRP2
PPP1R12A,,PPP1R21,GSTK1,WARS1,PDIA6,,,CST3
PPP1R16A,,Ppp1r7,GSTP1,WASF2,PDIA6,,,CSTB
PPP1R21,,Ppp1r9a,GSTT2B,WBP2,PDLIM1,,,CSTF1
PPP1R7,,PPP1R9B,GSTZ1,WDR1,PDLIM1,,,CSTF2
PPP2CA,,PPP2CA,GTF2B,WDR54,PDLIM1,,,CSTF2T
PPP2R1A,,Ppp2r1a,GTF2E1,WDR77,PDLIM3,,,CSTF3
PPP2R1B,,Ppp2r1b,GTF2E2,WIPF3,PDLIM3,,,CTBP1
PPP2R2A,,Ppp2r2a,GTF2F2,WNK1,PDLIM5,,,CTBP2
PPP2R5A,,PPP2R4,GTPBP1,XPNPEP1,PDLIM5,,,CTBS
PPP2R5D,,Ppp2r5a,GUCY1A1,XPO1,PDLIM5,,,CTDNEP1
PPP2R5E,,PPP2R5D,GUCY1B1,XPO7,PDLIM7,,,CTDSP1
PPP4R1,,Ppp2r5e,GUK1,XPOT,PDLIM7,,,CTDSPL2
PPP5C,,PPP4R1,GUSB,YAP1,PEBP1,,,CTIF
PPP6C,,Ppp5c,GYG1,YARS1,PEBP1,,,CTNNA1
PPP6R3,,Ppp6c,HABP2,YWHAB,PEBP1,,,CTNNAL1
PRDX1,,PPP6R3,HACE1,YWHAE,PEX5,,,CTNNB1
PRDX2,,Prdx1,HADH,YWHAG,PEX5,,,CTNNBL1
PRDX4,,PRDX4,HADHA,YWHAH,PFN1,,,CTNND1
PRDX6,,PREB,HADHB,YWHAQ,PFN1,,,CTPS1
PREP,,PREP,HAGH,YWHAZ,PFN1,,,CTPS2
PRKAA1,,Prkaa1,HAGHL,ZC2HC1A,PFN2,,,CTR9
PRKAB1,,PRKAB1,HARS1,ZNF516,PFN2,,,CTSA
PRKACA,,Prkaca,HAT1,,PFN2,,,CTSB
PRKACB,,PRKACB,HCLS1,,PGAM1,,,CTSC
PRKAG1,,PRKACG,HDAC1,,PGAM1,,,CTSD
PRKAR1A,,PRKAG1,HDAC10,,PGAM1,,,CTSG
PRKAR2A,,Prkar1a,HDAC2,,PGD,,,CTSH
PRKAR2B,,PRKAR2A,HDAC6,,PGD,,,CTSL
PRKCA,,Prkar2b,HDDC2,,PGD,,,CTSS
PRKCD,,Prkca,HDDC3,,PGK1,,,CTSZ
PRKCI,,PRKCD,HDGFL2,,PGK1,,,CTTN
PRKD2,,Prkcg,HDHD2,,PGK1,,,CTTNBP2NL
PRMT1,,PRKCI,HDHD5,,PGLS,,,CUL1
PRMT5,,PRKD1,HDLBP,,PGLS,,,CUL2
PROM1,,PRKD2,HEATR3,,PGRMC1,,,CUL3
PRPF8,,PRKD3,HEATR5A,,PGRMC1,,,CUL4B
PRPS1,,Prmt1,HEATR5B,,PGRMC1,,,CUL5
PRPS2,,prmt1-a,HEATR6,,PGRMC2,,,CUL7
PRPSAP1,,PRMT5,HEBP1,,PGRMC2,,,CUSTOS
PRPSAP2,,Prpf8,HEBP2,,PHACTR2,,,CUTA
PRRC1,,Prps1,HECTD1,,PHB,,,CUTC
PSAT1,,prps2,HECTD4,,PHB,,,CUX1
PSMA1,,Prpsap1,HECW2,,PHB2,,,CWC15
PSMA3,,Prpsap2,HERC4,,PHB2,,,CWC27
PSMA4,,PRRC1,HEXB,,PHB2,,,CWF19L1
PSMA5,,PSAT1,HEXIM1,,PHLDB2,,,CXADR
PSMA6,,PSMA1,HGS,,PHYHIPL,,,CYB5A
PSMA7,,Psma2,HIBADH,,PI4KA,,,CYB5B
PSMB1,,Psma3,HIBCH,,PIR,,,CYB5R1
PSMB3,,Psma4,HID1,,PIR,,,CYB5R2
PSMB5,,Psma5,HINT1,,PIR,,,CYB5R3
PSMB6,,Psma6,HIP1,,PITPNB,,,CYBB
PSMB7,,Psma7,HIP1R,,PKM,,,CYBC1
PSMC1,,PSMB1,HK1,,PKM,,,CYBRD1
PSMC2,,Psmb3,HLCS,,PKM,,,CYC1
PSMC3,,PSMB5,HM13,,PLEC,,,CYCS
PSMC4,,PSMB6,HMBS,,PLEC,,,CYFIP1
PSMC5,,PSMB7,HMGB1,,PLEC,,,CYGB
PSMC6,,Psmc1,HMGB3,,PLOD1,,,CYHR1
PSMD1,,PSMC2,HMGCS1,,PLOD2,,,CYP11A1
PSMD11,,Psmc3,HMGN2,,PLOD2,,,CYP19A1
PSMD12,,PSMC4,HMOX2,,PLOD2,,,CYP1B1
PSMD13,,PSMC5,HNMT,,PLS3,,,CYP20A1
PSMD14,,Psmc6,HNRNPA0,,PLS3,,,CYP27C1
PSMD2,,PSMD1,HNRNPA1,,PLS3,,,CYP2S1
PSMD3,,PSMD11,HNRNPA2B1,,PNMA8A,,,CYP51A1
PSMD4,,PSMD12,HNRNPA3,,PNP,,,CYRIA
PSMD6,,PSMD13,HNRNPAB,,PNP,,,CYRIB
PSMD7,,Psmd14,HNRNPC.1,,PNP,,,CYSTM1
PSMD8,,PSMD2,HNRNPH3,,PON2,,,CYTH3
PSME1,,Psmd3,HNRNPK,,PPIAP4,,,CZIB
PSME2,,PSMD4,HNRNPL,,PPIAP4,,,DAAM1
PSME4,,PSMD6,HNRNPLL,,PPIAP4,,,DAB2
PSPH,,Psmd7,HNRNPM,,PPIB,,,DAB2IP
PTBP1,,PSMD8,HNRNPR.1,,PPIB,,,DAD1
PTGES3,,PSME1,HNRNPUL1,,PPIB,,,DAG1
PTK2,,PSME2,HNRNPUL2,,PPIL3,,,DAGLB
PTK2B,,PSME4,HOOK1,,PPP1CA,,,DAP3
PTK7,,Psph,HOOK2,,PPP1CB,,,DAPK1
PTPN11,,Ptbp1,HOOK3,,PPP1CB,,,DAPK3
PTPN13,,PTEN,HP1BP3,,PPP1R14B,,,DARS1
PTPN23,,Ptges3,HPCAL1,,PPP1R14B,,,DARS2
PTPN6,,Ptgfrn,HPRT1,,PPP2CB,,,DAXX
PTPRF,,Ptk2,HPX,,PPP2CB,,,DAZAP1
PTPRJ,,PTK2B,HS1BP3,,PPP2CB,,,DBI
PURA,,PTK7,HSD17B10,,PPP2R1B,,,DBN1
PWP1,,PTPN11,HSD17B11,,PRAF2,,,DBNL
PYGB,,PTPN13,HSD17B12,,PRAF2,,,DBR1
PYGL,,Ptpn23,HSD17B4,,PRAF2,,,DBT
QDPR,,PTPN6,HSDL2,,PRDX1,,,DCAF1
QSOX1,,Ptprf,HSP90AA1,,PRDX1,,,DCAF13
RAB10,,Ptprj,HSP90AB1,,PRDX1,,,DCAF7
RAB11B,,PTPRS,HSPA12A,,PRDX2,,,DCAF8
RAB13,,PTRF,HSPA12B,,PRDX2,,,DCAKD
RAB14,,Pura,HSPA14,,PRDX2,,,DCD
RAB18,,PWP1,HSPA2,,PRDX3,,,DCHS1
RAB1A,,PXK,HSPA4,,PRDX3,,,DCLK1
RAB1B,,PYCRL,HSPA4L,,PRDX4,,,DCN
RAB21,,Pygb,HSPA5,,PRDX4,,,DCP1A
RAB23,,PYGL,HSPA8,,PRDX4,,,DCP1B
RAB27B,,QARS,HSPA9,,PRDX6,,,DCPS
RAB2A,,Qdpr,HSPB1,,PRDX6,,,DCTN1
RAB2B,,Qsox1,HSPB11,,PRDX6,,,DCTN2
RAB34,,Rab10,HSPB7,,PREP,,,DCTN3
RAB35,,RAB11B,HSPBP1,,PRKAR1A,,,DCTN4
RAB3A,,RAB13,HSPD1,,PRPF19,,,DCTN5
RAB3GAP1,,Rab14,HSPG2,,PRPF40B,,,DCTN6
RAB4B,,RAB18,HTATIP2,,PSAT1,,,DCTPP1
RAB5A,,Rab1A,HTRA1,,PSAT1,,,DCUN1D1
RAB5B,,RAB1B,HUWE1,,PSAT1,,,DCXR
RAB5C,,RAB21,HYDIN,,PSMA3,,,DDAH1
RAB6A,,RAB22A,HYKK,,PSMA3,,,DDAH2
RAB7A,,RAB23,HYOU1.1,,PSMA3,,,DDB1
RAB8A,,Rab27a,IAH1,,PSMA5,,,DDB2
RAB8B,,RAB27B,IARS1,,PSMA6,,,DDHD2
RABEP1,,RAB2A,IARS2,,PSMA6,,,DDI2
RABGAP1,,RAB2B,ICA1,,PSMA6,,,DDOST
RABGEF1,,RAB34,ICAM1,,PSMA7,,,DDR2
RABGGTA,,Rab35,IDE,,PSMA7,,,DDRGK1
RAC1,,Rab3a,IDE.1,,PSMA7,,,DDT
RAD50,,RAB3GAP1,IDH1,,PSMB1,,,DDX1
RAE1,,Rab4b,IDH2,,PSMB1,,,DDX17
RAI14,,RAB5A,IDH3A,,PSMB2,,,DDX18
RALA,,Rab5b,IFI30,,PSMB3,,,DDX19A
RALGAPA2,,Rab5c,IFIH1,,PSMB3,,,DDX20
RALGAPB,,Rab6a,IFRD2,,PSMB3,,,DDX21
RAN,,Rab7a,IFT122,,PSMB4,,,DDX23
RANBP10,,RAB8A,IFT140,,PSMB4,,,DDX27
RANBP9,,Rab8b,IFT172,,PSMB4,,,DDX39B
RAP1A,,RABEP1,IFT22,,PSMB5,,,DDX3X
RAP1B,,RABGAP1,IFT46,,PSMB5,,,DDX42
RAP1GAP,,Rabgef1,IFT52,,PSMB5,,,DDX46
RAP2B,,Rabggta,IFT57,,PSMB6,,,DDX47
RAP2C,,Rabl2,IFT74,,PSMB6,,,DDX5
RARRES1,,Rac1,IFT80,,PSMB6,,,DDX50
RBBP7,,RAD50,IFT81,,PSMC1,,,DDX58
RBM47,,Rae1,IFT88,,PSMC1,,,DDX6
RBP1,,RAI14,IGBP1,,PSMC2,,,DDX60
RDX,,Rala,IGF2BP2,,PSMC2,,,DECR1
RELA,,Ralgapa2,IGF2R,,PSMC2,,,DECR2
REPS1,,RALGAPB,IGFALS,,PSMC5,,,DEFA1
REXO2,,ran,IGFBP3,,PSMD10,,,DEFA1B
RHOA,,RANBP10,IKBKB,,PSMD10,,,DEGS1
RHOC,,RANBP9,IKBKG,,PSMD11,,,DEK
RHOG,,Rap1a,IL18,,PSMD12,,,DENND4A
RICTOR,,Rap1b,ILF3,,PSMD12,,,DENND4C
RNF31,,RAP1GAP,ILK,,PSMD13,,,DENND5A
RNH1,,Rap1gap2,ILVBL,,PSMD7,,,DENR
